id,vendor,family,part_numbers,aliases,standards,bands,sdr_tier,sdr_capabilities,fw_arch,fw_openness,fw_re_tooling,key_projects,common_hardware,status,references,notes
google-wifi-ipq4019,Google,Google Wifi / Nest Wifi,GALE; H2A,Google Wifi (2016); Nest Wifi; AC-1304,802.11n; 802.11ac; 802.11mc,2.4GHz; 5GHz,1,,"Qualcomm IPQ4019 (ARM Cortex-A7), Google Wi-Fi firmware",closed,,Android Wi-Fi RTT reference responder,Google Wifi AC1304 (GALE); Nest Wifi router/point,verified,https://developer.android.com/develop/connectivity/wifi/wifi-rtt; https://en.wikipedia.org/wiki/IEEE_802.11mc,"Consumer mesh AP built on Qualcomm IPQ4019; one of the canonical 802.11mc FTM responders Android's Wi-Fi RTT stack was validated against. Firmware is closed and exposes no monitor/CSI/raw path to a researcher — its only relevance to this catalog is as a cooperative FTM responder (a ranging primitive, hence tier 1 with no SDR capability flags). Not an initiator use case; you range TO it from a phone/laptop."
greatscott-hackrf-one,Great Scott Gadgets,HackRF One,HackRF One; MAX2837; MAX5864,HackRF,,sub-GHz; 2.4GHz; 5GHz,5,raw-iq; arbitrary-waveform; monitor; injection; spectral-scan,NXP LPC43xx Cortex-M4/M0 (open firmware),open,hackrf tools; GNU Radio,HackRF,,verified,https://greatscottgadgets.com/hackrf/; https://hackrf.readthedocs.io/en/latest/hackrf_one.html,"1MHz-6GHz, 20MHz BW, 8-bit, half-duplex TX/RX. Canonical open TX-capable hacker SDR; the arbitrary-waveform reference."
greatscottgadgets-ubertooth-one,Great Scott Gadgets,Ubertooth (CC2400 + LPC17xx),Ubertooth One; CC2400; LPC1756,Ubertooth One; CC2400,"Bluetooth LE; Bluetooth Classic (BR, partial)",2.4GHz,3,monitor; spectral-scan; open-firmware,ARM Cortex-M3 (NXP LPC1756) + CC2400 transceiver,open,gcc-arm; ghidra,Project Ubertooth; Ubertooth documentation,Ubertooth One,verified,https://github.com/greatscottgadgets/ubertooth; https://ubertooth.readthedocs.io/en/latest/,"Open 2.4 GHz platform: CC2400 transceiver + LPC1756 Cortex-M3, fully open firmware (bluetooth_rxtx). Sniffs BLE, partial BT Classic (BR), and runs ubertooth-specan, a real spectrum-analyzer/spectral-scan across 2.4 GHz via CC2400 RSSI sweeps (tier 3). Because the firmware is yours, the CC2400's PHY telemetry is fully exposed."
ti-cc1111-yardstick,Great Scott Gadgets,CC111x/CC251x + RfCat,CC1111; CC1110; CC2510; CC2511,CC1111; YARD Stick One; CC1110; CC2510; CC2511,2-FSK; GFSK; MSK; ASK; OOK,sub-GHz,1,monitor; injection; arbitrary-waveform; spectral-scan; open-firmware,8051 core + CC1101-class radio + USB,open,rfcat; sdcc,YARD Stick One; RfCat,YARD Stick One; IM-Me; TI Chronos watch,verified,https://greatscottgadgets.com/yardstickone/; https://github.com/atlas0fd00m/rfcat,"CC1111 = CC1101 radio + 8051 + USB. YARD Stick One runs RfCat (open firmware) exposing the transceiver from an interactive Python shell: 2-FSK/GFSK/MSK/ASK/OOK, raw register access, RSSI-sweep spectrum. RfCat also supports CC1110/CC2510/CC2511."
cypress-cyw43022,Infineon,AIROC low-power combo,CYW43022,CYW43022,802.11ac,2.4GHz; 5GHz,0,,D11 + low-power MCU (FullMAC),unknown,ghidra,,wearables; battery IoT devices,theoretical,https://www.infineon.com/cms/en/product/wireless-connectivity/airoc-wi-fi-plus-bluetooth-combos/,"AIROC ultra-low-power 1x1 Wi-Fi 5 + BLE combo (announced ~2023) aimed at wearables. Closed FullMAC, no public RE or port → tier 0. Firmware openness unknown."
cypress-cyw43439,Infineon,AIROC / BCM43xx FullMAC (Nexmon-class),CYW43439,CYW43439; BCM43439; BCM43439a0,802.11n,2.4GHz,1,monitor; injection,D11 + Cortex-M3 (FullMAC),patchable,nexmon; ghidra; b43-tools,Nexmon,Raspberry Pi Pico W / Pico 2 W; Pi-family CYW43 modules,verified,https://github.com/seemoo-lab/nexmon,"1x1 802.11n combo, the Wi-Fi in the Raspberry Pi Pico W. Genuinely Nexmon-supported: the table lists bcm43439a0 with firmware 7_95_49 (Cypress build 2271bb6) for monitor+injection → tier 1, patchable. Cypress/Infineon rebrand of a 43438-class die but with a distinct part number and its own firmware line, so a net-new entry (not the catalogued broadcom-bcm43438)."
infineon-bgt60tr13c,Infineon,XENSIV 60 GHz FMCW radar (Google Soli),BGT60TR13C; DEMO BGT60TR13C; DEMOBGT60TR13CTOBO1,BGT60TR13C; Soli; XENSIV 60GHz,FMCW radar (non-Wi-Fi),60GHz,4,radar; fmcw; raw-iq; arbitrary-waveform,60 GHz radar MMIC + integrated FSM/FIFO; host MCU control (Avian driver),documented,Infineon Radar SDK; Avian driver; Radar Fusion GUI,Infineon Radar SDK / BGT60TR13C,Google Pixel 4 (Soli); Google Nest Hub 2nd gen (sleep sensing); DEMO BGT60TR13C kit,verified,https://www.infineon.com/part/BGT60TR13C; https://www.everythingrf.com/news/details/9085-Infineon-s-60-GHz-Radar-Chip-Brings-Motion-Detection-to-Google-Pixel-4; https://www.mouser.com/datasheet/2/196/Infineon_DS_BGT60TR13C_DataSheet_v02_49_EN-3421982.pdf,"PURPOSE-BUILT radar included as the yardstick, NOT a repurposed Wi-Fi chip. The 60 GHz FMCW radar behind Google Soli (Pixel 4 gesture control, Nest presence/sleep sensing). 57-64 GHz, >5 GHz sweep bandwidth, 1 Tx / 3 Rx antenna-in-package (L-shaped for azimuth+elevation). Configured via Infineon's documented Radar SDK / Avian driver / Fusion GUI, which expose raw IQ frames -> range-Doppler-angle. Tier 4 (arbitrary FMCW chirp + raw IQ). Canonical reference for what a real 60 GHz gesture/vital-sign radar looks like when benchmarking a Wi-Fi-based imitation."
infineon-cyw55572,Infineon,AIROC Wi-Fi 6E combo,CYW55572,CYW55572,802.11ax,2.4GHz; 5GHz; 6GHz,0,,D11 + Cortex-M7 (FullMAC),closed,ghidra,,AIROC Wi-Fi 6E modules; embedded gateways,theoretical,https://www.infineon.com/cms/en/product/wireless-connectivity/airoc-wi-fi-plus-bluetooth-combos/airoc-wi-fi-6-6e/,"AIROC 2x2 Wi-Fi 6E (11ax, tri-band incl. 6 GHz) + BT combo. Closed FullMAC firmware, no public RE or Nexmon port → tier 0."
intel-ax101,Intel,"iwlwifi (Garfield Peak, gf)",AX101,Intel Wi-Fi 6 AX101; Garfield Peak,802.11ax,2.4GHz; 5GHz,1,monitor; injection,"Intel wireless MAC microcontroller (undocumented, signed ucode)",closed,,iwlwifi driver,CNVi companion in 11th gen+ Intel laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"Cut-down 1x1 Wi-Fi 6 (802.11ax, 2.4/5 GHz, no 6E) CNVi companion, Garfield Peak. Same generation as AX200/AX201 but single-stream. Monitor/injection only; the AX-CSI/FeitCSI toolchains target the 2x2 AX200/AX201/AX210 and are not validated on this 1x1 SKU. Tier 1."
intel-ax200-ax201,Intel,AX200 (Cyclone Peak),AX200NGW; AX201NGW; AX1650,Intel Wi-Fi 6 AX200; Intel Wi-Fi 6 AX201; AX200NGW; Killer Wi-Fi 6 AX1650,802.11a; 802.11b; 802.11g; 802.11n; 802.11ac; 802.11ax,2.4GHz; 5GHz,2,monitor; injection; csi,Proprietary Intel LMAC + UMAC firmware (signed); iwlwifi-cc-a0 ucode,patchable,AX-CSI (modified firmware + iwlwifi patch); FeitCSI; PicoScenes; CSIKit,"AX-CSI (Gringoli et al., WiNTECH'21); FeitCSI; PicoScenes; CSIKit",Intel Wi-Fi 6 AX200 discrete M.2/mini-PCIe; AX201 CNVi (10th-gen+ laptops),verified,https://dl.acm.org/doi/10.1145/3477086.3480833; https://ans.unibs.it/assets/documents/axcsi.pdf; https://feitcsi.kuskosoft.com/; https://github.com/KuskoSoft/FeitCSI,"Wi-Fi 6 (11ax) 2x2. First post-5300 Intel CSI, via AX-CSI (research), FeitCSI (turn-key, MIT, GUI/CLI, also frame injection) and PicoScenes (multi-NIC, up to 27 concurrent). CSI for all OFDM formats 11a/g/n/ac/ax; AX-CSI handles up to 160 MHz HE / ~1992 subcarriers per packet; FeitCSI up to 512 subcarriers at 16-bit signed. Firmware is closed/signed - tools ride the vendor's own CSI/debug host-command surface. Ceiling tier 2 (frame-level injection does not raise the tier)."
intel-ax203,Intel,"iwlwifi (Garfield Peak, gf)",AX203.NGWG; AX203,Intel Wi-Fi 6 AX203; Garfield Peak,802.11ax,2.4GHz; 5GHz,1,monitor; injection,"Intel wireless MAC microcontroller (undocumented, signed ucode)",closed,,iwlwifi driver; FeitCSI,CNVi companion in 12th-14th gen Intel laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html; https://feitcsi.kuskosoft.com/,"2x2 Wi-Fi 6 (802.11ax, 2.4/5 GHz, NOT 6E) CNVi companion, Garfield Peak — the non-6E sibling of AX210/AX211. Same silicon class the AX-CSI/FeitCSI extractors ride, so CSI is plausibly bindable through the mainline iwlwifi CSI host-command surface, but no published run confirms this specific SKU. CSI therefore reported/unverified; module claim stays Tier 1 monitor/injection."
intel-ax210-ax211,Intel,AX210 (Typhoon Peak),AX210NGW; AX211NGW; AX1675,Intel Wi-Fi 6E AX210; Intel Wi-Fi 6E AX211; AX210NGW; Killer AX1675,802.11a; 802.11b; 802.11g; 802.11n; 802.11ac; 802.11ax,2.4GHz; 5GHz; 6GHz,2,monitor; injection; csi,Proprietary Intel LMAC + UMAC firmware (signed); iwlwifi-ty-a0 ucode,patchable,AX-CSI; FeitCSI; PicoScenes; CSIKit,PicoScenes 6 GHz CSI; FeitCSI; AX-CSI,Intel Wi-Fi 6E AX210 discrete M.2; AX211 CNVi (12th-gen+ laptops),verified,https://zpj.io/wifi-sensing-in-the-6-ghz-band_eng/; https://feitcsi.kuskosoft.com/; https://ps.zpj.io/,Wi-Fi 6E: adds the 6 GHz band (5945-7125 MHz) and 160 MHz channels. Intel's most capable sensing NIC today. PicoScenes is (per its authors) the first/only public platform doing 11ax CSI + packet injection in 6 GHz on the AX210; FeitCSI also captures 6 GHz CSI. Same closed/signed firmware model as AX200. Ceiling tier 2.
intel-ax210-csi,Intel,Wi-Fi 6E AX200/AX210 (iwlwifi),AX200; AX201; AX210; AX211,AX-CSI; IAX; FeitCSI; AX200; AX210,802.11a; 802.11g; 802.11n; 802.11ac; 802.11ax,2.4GHz; 5GHz; 6GHz,2,monitor; injection; csi,"Intel closed microcode (ARC-based), iwlwifi",patchable,binary-patched-ucode; ida; ghidra,"FeitCSI (reproducible path: source+binary+live USB); AX-CSI / IAX (Gringoli et al., research primitive); PicoScenes",Intel AX200 M.2/mini-PCIe; Intel AX210 M.2 (6 GHz capable),verified,https://ans.unibs.it/assets/documents/axcsi.pdf; https://github.com/KuskoSoft/FeitCSI; https://ieeexplore.ieee.org/document/10944229/; https://ps.zpj.io/,"Rationale: CSI for all 802.11a/g/n/ac/ax formats up to 160 MHz (up to ~1992 subcarriers/packet), 6 GHz on AX210, via patched microcode; FeitCSI adds injection + GUI. REPRODUCIBLE TODAY via FeitCSI, which was engineered to defeat version-pinning: it ships source, prebuilt binaries, AND a live-USB distro, carries its own patched microcode/driver plumbing, and states no restriction to a specific kernel version or architecture (x86-64/ARM). Supports AX200/AX210 (6 GHz on AX210), current in-production commodity parts. Backed by a 2025 IEEE paper (doc 10944229). AX-CSI/IAX (WiNTECH'21) is the underlying research primitive but is more version-pinned -- reproduce via FeitCSI or PicoScenes (multi-NIC). See ../docs/verification-tier2-csi.md and ../chips/intel.md."
intel-ax411,Intel,"iwlwifi (Garfield Peak, gf)",AX411NGWG; AX411,Intel Wi-Fi 6E AX411; Killer Wi-Fi 6E AX1690; Garfield Peak,802.11ax,2.4GHz; 5GHz; 6GHz,1,monitor; injection,"Intel wireless MAC microcontroller (undocumented, signed ucode)",closed,,iwlwifi driver; AX-CSI; FeitCSI,CNVi companion in 12th-14th gen Intel laptops (often Killer-branded),verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html; https://feitcsi.kuskosoft.com/; https://ans.unibs.it/assets/documents/axcsi.pdf,"2x2 Wi-Fi 6E (802.11ax, 2.4/5/6 GHz) CNVi companion, Garfield Peak — same generation as the catalogued AX210/AX211 and sold as Killer Wi-Fi 6E AX1690. Because it is AX210-class silicon (including 6 GHz), AX-CSI/FeitCSI/PicoScenes-style CSI is plausible, but no published capture confirms the AX411/AX1690 CNVi SKU specifically. CSI reported/unverified; module claim stays Tier 1. For verified 6 GHz Intel CSI see intel-ax210-csi."
intel-be200,Intel,BE200 (Gale Peak 2),BE200NGW; BE1750,Intel Wi-Fi 7 BE200; BE200NGW; Killer BE1750,802.11a; 802.11b; 802.11g; 802.11n; 802.11ac; 802.11ax; 802.11be,2.4GHz; 5GHz; 6GHz,2,monitor; injection; csi,Proprietary Intel LMAC + UMAC firmware (signed); iwlwifi-gl ucode,closed,FeitCSI (reported/likely); PicoScenes (TBD),FeitCSI,Intel Wi-Fi 7 BE200 discrete M.2,reported,https://cdrdv2-public.intel.com/761674/761674_Intel_Wi-Fi_7_BE200_GalePeak2_Product_Brief_Rev1p1.pdf; https://feitcsi.kuskosoft.com/,"Intel's first Wi-Fi 7 (802.11be) part: 2x2, 2.4/5/6 GHz, up to 320 MHz and 4K-QAM. No published tool yet confirms 320 MHz 11be CSI; FeitCSI authors note only 'high possibility' the newest NIC is supported, and AX-CSI/PicoScenes docs stop at AX210/AX211. Treat CSI as emerging/reported until a verified capture appears. Firmware closed/signed."
intel-be201,Intel,Wi-Fi 7 (Gale),BE201,BE201; Intel Wi-Fi 7 BE201; Gale,802.11be; 802.11ax; 802.11ac,2.4GHz; 5GHz; 6GHz,1,monitor,Intel closed ucode (gl series) + PNVM platform blob,closed,Wireshark/radiotap; iwlwifi debugfs,iwlwifi (Linux ≥6.5); PicoScenes; FeitCSI,CNVio2 soldered-down module (requires Intel host MAC); laptop mainboards,reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html; https://www.intel.com/content/www/us/en/download/824804/intel-wireless-wi-fi-drivers-for-linux.html; https://ps.zpj.io/; https://feitcsi.kuskosoft.com/,"CNVio2 companion of BE200; same 'Gale' (gl) firmware family. Upstream iwlwifi monitor works from kernel 6.5; injection is firmware-restricted as on all Intel parts. CSI is NOT available: PicoScenes/FeitCSI verify only AX200/AX210, and the AX210 firmware-notification RE has not been ported to the Gale blob. For commodity Intel CSI today use AX210, not a BE200/BE201."
intel-be202,Intel,"iwlwifi (Wi-Fi 7, bz)",BE202.NGWG; BE202,Intel Wi-Fi 7 BE202,802.11be,2.4GHz; 5GHz,1,monitor; injection,"Intel wireless MAC microcontroller (undocumented, signed ucode)",closed,,iwlwifi driver; FeitCSI,M.2 / CNVio in 2024+ Core Ultra laptops (dual-band Wi-Fi 7 SKU),verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html; https://feitcsi.kuskosoft.com/,"Intel's dual-band Wi-Fi 7 (802.11be) part: 2x2, 2.4/5 GHz only — no 6 GHz radio, unlike the catalogued BE200/BE201 — so it tops out at 160 MHz channels. Same closed, signed bz-family ucode as BE200. CSI on Wi-Fi 7 Intel silicon is only 'reported/likely' by FeitCSI's authors and unverified on any BE-series SKU; module claim stays Tier 1 monitor/injection. See intel-be200 for the flagship Wi-Fi 7 part."
intel-ipw2100,Intel,ipw2100 (Calexico),WM3B2100BMR,Intel PRO/Wireless 2100; Calexico; WM3B2100,802.11b,2.4GHz,1,monitor,Intel wireless MAC microcontroller (undocumented),closed,,ipw2100 Linux driver,Mini-PCI in 2003-2005 Centrino laptops,verified,https://ipw2100.sourceforge.net/; https://www.aircrack-ng.org/doku.php?id=compatibility_drivers,"Intel's first Centrino Wi-Fi part (802.11b, 1x1, 2.4 GHz). The ipw2100 driver supports rfmon/monitor capture but has NO packet-injection support, so it sits below a full Tier 1. Closed firmware blob; no PHY telemetry of any kind. Historical interest only."
intel-ipw2200-2915abg,Intel,ipw2200 (Calexico2),WM3B2200BG; WM3B2915ABG,Intel PRO/Wireless 2200BG; Intel PRO/Wireless 2915ABG; Calexico2; WM3B2200BG; WM3B2915ABG,802.11b; 802.11g; 802.11a,2.4GHz; 5GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,ipw2200 Linux driver,Mini-PCI in 2004-2006 Centrino laptops,verified,https://ipw2200.sourceforge.net/; https://www.aircrack-ng.org/doku.php?id=compatibility_drivers; https://en.wikipedia.org/wiki/Centrino,"Two sibling parts on the same Calexico2 silicon and ipw2200 driver: 2200BG (802.11b/g, 2.4 GHz only) and 2915ABG (adds 802.11a / 5 GHz); both 1x1. Monitor mode works out of the box; packet injection historically required the separate legacy ipwraw-ng raw driver rather than mainline ipw2200. No CSI/spectral/IQ path — closed firmware. Tier 1."
intel-ipw3945abg,Intel,iwl3945 / iwlegacy (Golan),WM3945ABG,Intel PRO/Wireless 3945ABG; Golan; WM3945ABG,802.11a; 802.11b; 802.11g,2.4GHz; 5GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlegacy (iwl3945) driver,Mini-PCIe in 2006-2008 Centrino Duo laptops,verified,https://www.aircrack-ng.org/doku.php?id=compatibility_drivers; https://en.wikipedia.org/wiki/Centrino,"First Intel part on the modern iwl3945/mac80211 stack (later folded into iwlegacy). 802.11a/b/g, 1x1, dual band. Clean mac80211 monitor + injection, making it a proper Tier 1 (unlike the older ipw parts). No 802.11n, no CSI, closed ucode."
intel-iwl100-105,Intel,iwlwifi-100 / -105,100BGNHMW; 105BNHMW,Intel Centrino Wireless-N 100; Intel Centrino Wireless-N 105; 105BNHMW,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2011-2013 budget laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"Low-end single-stream 802.11n parts (1x1, 2.4 GHz), separate iwlwifi-100 and iwlwifi-105 ucode families. Monitor/injection only, no PHY telemetry. Tier 1."
intel-iwl1000,Intel,iwlwifi-1000 (Kelsey Peak),112BNHMW; 112BNMW,Intel WiFi Link 1000; Intel Centrino Wireless-N 1000; Kelsey Peak; 112BNHMW,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2009-2011 laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html; https://en.wikipedia.org/wiki/Centrino,"Entry 802.11n part, 1x2, 2.4 GHz only. Sold both as 'WiFi Link 1000' and rebranded 'Centrino Wireless-N 1000' on the same Kelsey Peak silicon (iwlwifi-1000 ucode). mac80211 monitor/injection only; no CSI tool. Tier 1."
intel-iwl1030,Intel,iwlwifi-6030 (Rainbow Peak),1030BNHMW,Intel Centrino Wireless-N 1030; Rainbow Peak; 1030BNHMW,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2011-2012 laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"1x2 802.11n + Bluetooth combo, 2.4 GHz only, on the Rainbow Peak / iwlwifi-6030 firmware family (shared with the dual-band Advanced-N 6230/6235). Monitor/injection only. Tier 1."
intel-iwl130-135,Intel,iwlwifi-135,130BNHMW; 135BNHMW,Intel Centrino Wireless-N 130; Intel Centrino Wireless-N 135; 135BNHMW,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2012-2013 laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"Single-stream 802.11n + Bluetooth combo parts (1x1, 2.4 GHz), iwlwifi-135 ucode family (the 130 shares it). Monitor/injection only. Tier 1."
intel-iwl2200,Intel,iwlwifi-2000,2200BNHMW,Intel Centrino Wireless-N 2200; 2200BNHMW,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2012-2013 laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"2x2 802.11n, 2.4 GHz only, iwlwifi-2000 ucode family. Despite being 2-stream it has no CSI path (the 5300 tool is silicon/ucode-specific). Monitor/injection only. Tier 1."
intel-iwl2230,Intel,iwlwifi-2030,2230BNHMW,Intel Centrino Wireless-N 2230; 2230BNHMW,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2012-2014 laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"2x2 802.11n + Bluetooth combo, 2.4 GHz only, iwlwifi-2030 ucode family (the BT-combo sibling of the 2200). Monitor/injection only. Tier 1."
intel-iwl3160,Intel,iwlwifi-7260 / -3160 (Wilkins Peak),3160HMW; 3160NGW,Intel Wireless-N 3160; Intel Dual Band Wireless-AC 3160; Wilkins Peak; 3160HMW,802.11a; 802.11b; 802.11g; 802.11n; 802.11ac,2.4GHz; 5GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,M.2 / Mini-PCIe in 2014-2016 laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"Entry 802.11ac part, 1x1 dual band + Bluetooth, Wilkins Peak silicon on the iwlwifi-7260/3160 firmware family (sibling of the catalogued 7260/7265). Monitor/injection only; no Intel CSI tool binds to it. Tier 1."
intel-iwl3165-3168,Intel,iwlwifi-7265D / -3168 (Stone Peak),3165NGW; 3168NGW,Intel Dual Band Wireless-AC 3165; Intel Dual Band Wireless-AC 3168; Stone Peak; 3165NGW; 3168NGW,802.11a; 802.11b; 802.11g; 802.11n; 802.11ac,2.4GHz; 5GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,M.2 in 2015-2018 laptops and mini-PCs,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"1x1 dual-band 802.11ac + Bluetooth entry parts: 3165 (Stone Peak, iwlwifi-7265D ucode) and 3168 (Stone Peak 2, iwlwifi-3168 ucode). Monitor/injection only, no CSI. Tier 1."
intel-iwl4965,Intel,IWL4965 (Kilmer Peak),4965AGN,Intel Wireless WiFi Link 4965AGN; iwl4965,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor; injection,Proprietary Intel Wireless-MAC microcontroller; iwlwifi-4965 ucode,closed,,,Intel 4965AGN mini-PCIe,verified,https://wireless.wiki.kernel.org/en/users/drivers/iwl4965,"Intel's first 802.11n (draft-n) part, 2x3 MIMO. No CSI/PHY telemetry path; monitor/injection only via mac80211/iwl4965."
intel-iwl5100-5150,Intel,IWL5000 (Shirley Peak),512AN_MMW; 512AN_HMW,Intel WiFi Link 5100; Intel WiFi Link 5150; 512AN_MMW; 512AN_HMW,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor; injection,Proprietary Intel Wireless-MAC microcontroller; iwlwifi-5000 ucode,closed,,,Intel WiFi Link 5100 (1x2) mini-PCIe; Intel WiFi Link 5150 (2.4 GHz),verified,https://dhalperi.github.io/linux-80211n-csitool/,"Lower-antenna siblings of the 5300. The 5300 CSI ucode hard-codes 3 receive chains, so the 1x2 5100 / 2x2 5150 are NOT supported by the CSI tool. Usable only as ordinary mac80211 monitor/injection radios."
intel-iwl5300,Intel,IWL5000 (Shirley Peak),533AN_MMW; 533AN_HMW,Intel WiFi Link 5300; IWL5300 AGN; 533AN_MMW; 533AN_HMW,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,2,monitor; injection; csi,Proprietary Intel Wireless-MAC microcontroller (undocumented ISA); iwlwifi-5000 ucode,patchable,linux-80211n-csitool; modified iwlwifi-5000 ucode; connector/netlink log_to_file; matlab read_bfee,Linux 802.11n CSI Tool (Halperin et al.); linux-80211n-csitool source; PicoScenes (multi-NIC); CSIKit parser,Intel WiFi Link 5300 mini-PCIe card (3 antennas required),verified,https://dhalperi.github.io/linux-80211n-csitool/; https://github.com/dhalperi/linux-80211n-csitool; https://dl.acm.org/doi/10.1145/1925861.1925870,"The original 802.11n CSI tool. Reports channel matrix H for 30 subcarrier groups, signed 8-bit I and 8-bit Q per Tx/Rx pair (up to 3x3), plus per-chain RSSI/noise/AGC. Requires the patched 'connector' ucode + patched iwlwifi/mac80211, pinned to old kernels (classic: Ubuntu 10.04 / 2.6.36). Only the 3-antenna 5300 works; 5100/5150 excluded by hard-coded 3-chain layout. Ceiling is tier 2 (CSI) - no spectral/raw-IQ/arbitrary-TX."
intel-iwl5300-csi,Intel,Wi-Fi Link 5300 (iwlwifi),533AN_HMW; 533AN_MMW,IWL5300; Intel 5300; Ultimate-N 5300,802.11a; 802.11g; 802.11n,2.4GHz; 5GHz,2,monitor; csi,Intel closed microcode (iwlwifi),closed,binary-patched-ucode; ida,Linux 802.11n CSI Tool (Halperin); PicoScenes (current reproduction path),"Intel 5300 mini-PCIe card (EOL, 2008-era); ThinkPad-era laptops with 3 antennas",verified,https://dhalperi.github.io/linux-80211n-csitool/; https://github.com/dhalperi/linux-80211n-csitool; https://github.com/dhalperi/linux-80211n-csitool-supplementary; https://ps.zpj.io/,"Rationale: grouped 30-subcarrier CSI (int8 real/imag), up to 3x3, via patched 5300 microcode + modified iwlwifi. VERIFIED (LEGACY KERNEL): the original Halperin tool repo is archived (2020-06-27), self-describes as 'based on iwlwifi and Linux-2.6', and its modified driver does not build past ~kernel 4.2 -- it will NOT compile on 5.x/6.x. Reproducible today only on a pinned legacy kernel (<=4.x) OR via PicoScenes, which carries IWL5300 support onto Ubuntu 22.04. The IWL5300 is EOL mini-PCIe hardware. Old .dat captures still parse (CSIKit); only live capture on a modern host is broken. See ../docs/verification-tier2-csi.md and ../chips/intel.md."
intel-iwl5350,Intel,iwlwifi-5000 (Shirley Peak WiMAX),512AN_MMW,Intel WiMAX/Wi-Fi Link 5350; Shirley Peak; 512AN_MMW,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2008-2010 laptops (WiMAX-equipped SKUs),verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html,"The 3x3:3 WiMAX sibling of the famous IWL5300 (same Shirley Peak generation, iwlwifi-5000 family). It has the same MIMO geometry the Halperin 802.11n CSI Tool exploits, but that tool hard-codes the 5300's PCI ID and its patched connector ucode; the 5350 ships a different WiMAX-oriented firmware image and is NOT supported by any maintained CSI build. Honestly Tier 1. See intel-iwl5300-csi for the part that does reach Tier 2."
intel-iwl6005-6205,Intel,iwlwifi-6005 (Taylor Peak),62205ANHMW; 6205,Intel Centrino Advanced-N 6205; Taylor Peak; 62205ANHMW,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor; injection,Intel wireless MAC microcontroller (undocumented),closed,,iwlwifi driver,Mini-PCIe in 2011-2013 business laptops (common ThinkPad option),verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/iwlwifi.html; https://en.wikipedia.org/wiki/Centrino,"2x2 dual-band 802.11n, Taylor Peak / iwlwifi-6005 ucode. A very common corporate-laptop NIC. Monitor/injection only, no CSI. Tier 1."
